Var1;S2_1;S2_2;S2_3;S2_4;S2_5;S2_6;S2_7;S2_8;S2_9;S2_10;S2_11;S2_12;S2_13;S2_14;S2_15;S2_16;S2_17;S2_18;S2_19;S2_20;S2_21
"L-Asparagine";0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999;0.000417332012235999
"L-Methionine";-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421;-0.000276270837956421
"L-Tyrosine";-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142;-0.00271275856228142
"L-Histidine";0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474;0.0275168915976474
"Phosphate ";0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455;0.0158754257926455
"Dihydroxyacetone phosphate";0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967;0.00878863493602967
"D-Ribose";0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395;0.000507115722687395
"D-Glucose";0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571;0.01578835837571
"myo-Inositol";0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224;0.0292654905631224
"Hypoxanthine ";0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182;0.0133157123393182
