Var1;S1_1;S1_2;S1_3;S1_4;S1_5;S1_6;S1_7;S1_8;S1_9;S1_10;S1_11;S1_12;S1_13;S1_14;S1_15;S1_16;S1_17;S1_18;S1_19;S1_20;S1_21
"L-Histidine";0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433;0.0032725482314433
"Hypoxanthine ";-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867;-0.0675211145701867
"Inosine";0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743;0.00145177935984743
"myo-Inositol";0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709;0.0176543432084709
"L-Isoleucine";0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729;0.0048356635641729
"L-Leucine";0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637;0.00261431829900637
"L-Lysine";-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678;-0.00343156989513678
"L-Malate";0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892;0.000187777538795892
"Maltose ";1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595;1.47279979502595
"L-Methionine";-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408;-0.00153336957430408
"Nicotinamide adenine dinucleotide";-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992;-0.0959806039856992
"L-Ornithine";-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376;-0.00249009704204376
"L-phenylalanine";0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461;0.0186322841070461
"Phosphate";0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201;0.00225330377665201
"L-Proline";-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369;-0.000590011797354369
"L-Serine";0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648;0.00264330510852648
"succinic acid";0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942;0.0102359095885942
