uk;gh
"EX_dextrin(e)";0.0879947813967394
"EX_fadh2(e)";0.000418287254713879
"EX_fic3(e)";0
"EX_foc3(e)";0.0616932190400108
"EX_g(e)";0.00700118173493905
"EX_gam6p(e)";0
"EX_gdl(e)";0
"EX_glc__D";0.0879947813967394
"EX_gln-L(e)";0.0879947813967394
"EX_glu-L(e)";0.0879947813967394
"EX_glucu(e)";0.0879947813967394
"EX_gly(e)";0.0879947813967393
"EX_h2o";0.0879947813967393
"EX_hb(e)";0.0879947813967393
"EX_his(e)";0.087994781396734
"EX_i(e)";0.0879947813967394
"EX_ile(e)";0
"EX_ins(e)";0
"EX_ins4p(e)";0.0879947813967394
"EX_lac__L_e";0.0879947813967394
"EX_lald__D(e)";0.0879947813967394
"EX_leu(e)";0.0879947813967394
"EX_lpc(e)";0.087994781396734
"EX_lys(e)";0.0879947813967394
"EX_malcoa(e)";0
"EX_maldex";0
"EX_met(e)";0.0879947813967394
"EX_mmet(e)";0.0879947813967393
"EX_no(e)";0.087994781396734
"EX_o2";0.0879947813967394
"EX_phe(e)";0.087994781396734
"EX_pro(e)";0.0879947813967486
"EX_r1p(e)";0.087994781396734
"EX_rib-D(e)";0.0879947813967393
"EX_ser(e)";0.087994781396734
"EX_sucr";0.087994781396734
"EX_thr(e)";0.0879947813967486
"EX_trp(e)";0.087994781396734
"EX_tyr(e)";0.087994781396734
"EX_urd(e)";0.0879947813967394
"EX_urea(e)";0.00700118173493905
"EX_val(e)";0.0879947813967486
"FAAA";0.00700118173493905
"FADS";0.087994781396734
"FASN";0.00700118173493905
"FAT";0.00700118173493905
"FBA";0.0879947813967486
"FBP";0.00700118173493905
"FOC3CO";0.00700118173493905
"FUM";0.0879947813967393
"G6PDH2r";0.0879947813967394
"G6PP";0.000418287254713879
"GAPD";0.0879947813967394
"GAT";0.087994781396734
"GDPK";0.087994781396734
"GDPase";0.0879947813967394
"GF6PTA";0.0879947813967393
"GK";0.0879947813967393
"GLA";0.0879947813967394
"GLK";0.0879947813967394
"GLNS";0.0879947813967394
"GLUD";0.0879947813967394
"GLUDC";0.0879947813967394
"GLUDX";0.087994781396734
"GLUN";0.087994781396734
"GLUSX";0.087994781396734
"GLUSY";0.0879947813967394
"GLYCOO";0.0879947813967393
"GLYCOR";0.0879947813967394
"GMPK";0.087994781396734
"GMPL";0.0410299603100334
"GMPS";0.0879947813967394
"GND";0.0879947813967394
"GND1";0
"GNO";0.0879947813967394
"GPPA";0.087994781396734
"GTPCH";0.087994781396734
"H2O_t";0.087994781396734
"H2O_tm";0
"HBD";0.0879947813967394
"HCO3E";0.0879947813967394
"HCYSMT";0.0879947813967394
"HDPPD";0.0879947813967394
"HEX1";0.0879947813967394
"HGO";0.0879947813967394
"HGPRT";0
"HIBCH";0.0879947813967394
"HMGCOAL";0.0879947813967394
"HMGCOAS";0.087994781396734
"HPPD";0.087994781396734
"HSL";0.0879947813967486
"H_tm";0
"ICDHyr";0
"IMPD";0.0879947813967394
"INSBP";0.087994781396734
"INSP";0.087994781396734
