Var1;S1_1;S1_2;S1_3;S1_4;S1_5;S1_6;S1_7;S1_8;S1_9;S1_10;S1_11;S1_12;S1_13;S1_14;S1_15;S1_16;S1_17;S1_18;S1_19;S1_20;S1_21
"D-Glucose";0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543;0.000324962937775543
"myo-Inositol";0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785;0.0145051128861785
"Hypoxanthine ";0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442;0.000207116475672442
"Adenine ";0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537;0.000323615215196537
"D-Erythrose 4-phosphate";0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357;0.0296475766305357
"Urea";0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512;0.000240843435410512
"Uridine 5'-monophosphate";0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801;0.0145744829003801
"L-Lactate";-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859;-0.00047315964096859
"Pyruvate ";1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05;1.46819240388968e-05
"glycerol";-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817;-0.00193656001241817
"D-Glycerate";-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636;-0.0050314436803636
"Citrate ";0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003;0.0695725373472003
"cis-Aconitate";0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126;0.00392557469263126
