uk;V1_1;V1_2;V1_3;V1_4;V1_5;V1_6;V1_7;V1_8;V1_9;V1_10;V1_11;V1_12;V1_13;V1_14;V1_15;V1_16;V1_17;V1_18;V1_19;V1_20;V1_21
"ACACT1r";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.0879872569066924;0.0879872569066828;0.0879872569066864;0.0879872569066876;0.0879872569066832;0.0879872569067146;0.0879872569067153;0.0879872569066817;0.0879872569066817;0.0879872569066764;0.0879872569066764;0.0879872569066757;0.0879872569067086
"ACADM";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"ACAOR";0.0624818867545256;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.0879872569066117;0.0879872569066194;0.0879872569066272;0.0879872569066363;0.0879872569066244;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"ACCOAL";0.0624818867545393;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"ACONTa";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"ACONTb";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"ACPAT";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"ACS3";0.0624818867545475;0.0689773425259061;0.0754727982972627;0.0819682540686046;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692
"ADPase";0.0624818867545475;0.0689773425259061;0.0754727982972627;0.0819682540686046;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692;0.0879872569066692
"ADSLR";0.0624818867545475;0.0689773425258704;0.0754727982972442;0.0819682540685748;0.0879872569066369;0.0879872569066245;0.0879872569066405;0.0879872569066332;0.0879872569066427;0.087987256906634;0.0879872569066274;0.0879872569066195;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
